parameter,mean,std,ess_bulk,ess_tail,rhat,rhat_warn,ess_bulk_warn,ess_tail_warn,ess_warn
"parameters[4, 38]",-5.162430268748114,0.9516141582220453,6573.507678608981,2303.7270856814525,1.0068718101099705,false,false,false,false
"parameters[1, 39]",1.671005244036388,2.2048488121463197,6150.613369592396,2842.776970209203,1.0012222144043341,false,false,false,false
"parameters[2, 39]",0.7147621670331871,0.36364402165203336,3433.8283857339984,2332.7911387094355,1.0006083164630992,false,false,false,false
"parameters[3, 39]",0.5726567201672322,0.19544068604392767,3239.1681039343284,2685.510341042877,1.0009179814798328,false,false,false,false
"parameters[4, 39]",-5.525123691845241,0.9322610677611638,6570.630690125431,2599.825832312596,0.9999934290586678,false,false,false,false
"parameters[1, 40]",1.712960966036023,1.822511845526926,7367.683889948339,3064.254587846124,1.0005755682008124,false,false,false,false
"parameters[2, 40]",2.970387971374463,0.5299037432515997,4885.688543503159,2753.502496110581,1.0022050629450028,false,false,false,false
"parameters[3, 40]",0.4105025203022659,0.10725205905337654,5125.851253193637,2933.67548395084,1.002636969735405,false,false,false,false
"parameters[4, 40]",-4.425525728978363,0.9779728478841261,4173.221605065694,2493.7382176819024,1.0010508578015092,false,false,false,false
"parameters[1, 41]",0.9426929793430877,0.9287928427368864,6472.903369464822,3344.0321207245943,1.0005026158295711,false,false,false,false
"parameters[2, 41]",2.3480302458950666,0.6163892070777824,5792.763025642564,2476.7250370500924,1.0021504584668999,false,false,false,false
"parameters[3, 41]",0.9398506019693805,0.42700281249404215,5354.662974849121,3087.106748449523,1.0005847155022738,false,false,false,false
"parameters[4, 41]",-5.49535988414829,0.9755674832192831,6593.26545498234,2564.1349012810647,1.0016140512515428,false,false,false,false
"parameters[1, 42]",1.7043551202231733,1.980067027129711,6456.440038545718,2855.0078007285642,1.002329435662738,false,false,false,false
"parameters[2, 42]",1.936595033908708,0.6840738189323643,5755.424456724712,2312.409302645975,1.000585469997001,false,false,false,false
"parameters[3, 42]",1.8673842649168382,0.5937141304087806,5407.812520358558,2832.9230577296807,1.0005499250824603,false,false,false,false
"parameters[4, 42]",-5.218921027928611,0.9970771649496258,6731.522126486871,2292.058593197334,1.001528414600048,false,false,false,false
"parameters[1, 43]",0.8771541103493191,0.9018030233497542,5450.4717702939115,2663.900371240859,1.0015242150099803,false,false,false,false
"parameters[2, 43]",2.2952134861868934,0.5359239195379454,5794.5845559577765,2641.930338763306,0.9997727623773168,false,false,false,false
"parameters[3, 43]",0.708026664100908,0.28947615492177586,4697.887113535741,2501.462353075385,1.001741410590367,false,false,false,false
"parameters[4, 43]",-5.118871715284653,0.9044130645120301,6199.638983670274,1866.2583549355525,1.0029729729016073,false,false,false,false
"parameters[1, 44]",1.729420836122399,2.4421805848737024,7956.222695118458,2850.574178693788,1.0006036043847564,false,false,false,false
"parameters[2, 44]",2.258167704400369,0.7082063364132433,5197.474428503716,2569.0427688582295,0.9996237848976981,false,false,false,false
"parameters[3, 44]",1.7785085572995765,0.6077827154771985,5178.183012225384,3060.3432122355416,1.0004267067209645,false,false,false,false
"parameters[4, 44]",-4.62609593033097,1.0655758426794886,4700.575469376756,1984.7949496395092,1.0002960243575045,false,false,false,false
"parameters[1, 45]",0.5942882084874836,0.7707712038494815,7693.24665268744,2854.787918384959,1.0025819459401506,false,false,false,false
"parameters[2, 45]",2.273786843998575,0.6707060725657517,6647.203787838904,2467.178528740496,1.001530129285195,false,false,false,false
"parameters[3, 45]",1.2875523193398213,0.3485065125906059,5535.997221772447,3267.876965690778,1.0006780511459261,false,false,false,false
"parameters[4, 45]",-3.668891535352641,1.0919374376937998,4320.37359357262,2230.1417601902876,1.001300508373571,false,false,false,false
"parameters[1, 46]",1.8533344581862026,2.247651782589847,7953.21902695938,3026.3866400829606,1.0009486368605922,false,false,false,false
"parameters[2, 46]",1.354465956343898,0.6733226732361683,4598.046522245572,2388.259561595151,1.0006912507232646,false,false,false,false
"parameters[3, 46]",1.5224929588315008,0.5196754559428525,4986.105678622075,3412.1897432935984,1.0007930207059115,false,false,false,false
"parameters[4, 46]",-5.249001924474889,0.9854716073614845,6119.800088347458,2504.809138526322,1.002717735477511,false,false,false,false
"parameters[1, 47]",1.6827337415426253,2.059027057893892,6772.203913710484,2517.8050562062194,1.0005724638243454,false,false,false,false
"parameters[2, 47]",1.262182778974126,0.6482445947410169,4345.6328036168225,2441.559662914855,0.9997608195141641,false,false,false,false
"parameters[3, 47]",1.5167487455905713,0.5040192193034091,4524.390087966384,3193.5167188070013,0.9993838608544874,false,false,false,false
"parameters[4, 47]",-5.315400705397382,0.9701373646886049,6184.92797599749,2211.4080180532583,1.0010605244662694,false,false,false,false
"parameters[1, 48]",1.2899474098360515,1.6820373498087737,6929.808998534077,2622.690714603063,1.0004022784387947,false,false,false,false
"parameters[2, 48]",1.7886498983279826,0.6298021919196419,5941.246933327175,2329.7809347288053,1.0012837536452506,false,false,false,false
"parameters[3, 48]",0.8228414417340284,0.21019811063559393,4702.635452421444,2939.065150312363,1.0014875127260248,false,false,false,false
"parameters[4, 48]",-4.736214992101321,1.1140282976250249,3294.2285243207084,1215.4166266558966,1.001082580752712,false,false,false,false
"parameters[1, 49]",1.7833936818685014,2.3183142320772294,7068.951515334422,3104.927736386062,1.000727281046427,false,false,false,false
"parameters[2, 49]",1.2999002933554855,0.64066265459904,4365.714339413077,2307.8197809909943,0.9997359246668833,false,false,false,false
"parameters[3, 49]",1.3568044128379604,0.4437059605716726,3701.9024802451704,2792.072227986518,1.000007374182799,false,false,false,false
"parameters[4, 49]",-3.8779632496555956,1.087938961701222,5317.164610724421,2412.638911705251,1.0003865182654945,false,false,false,false
"parameters[1, 50]",1.7873387268744911,2.0695642279169086,7851.195469005981,3067.3483057718163,1.0011430522962865,false,false,false,false
"parameters[2, 50]",0.8996535658187702,0.5901676334111261,3755.65837951,2444.557293584677,1.0012851590487268,false,false,false,false
"parameters[3, 50]",1.548341669435133,0.4986377971088352,3775.179199227058,2818.697437469308,1.0010972276301062,false,false,false,false
"parameters[4, 50]",-5.261193905031674,1.017701829266886,5723.235227260589,2094.44092856373,1.0007144511704282,false,false,false,false
"parameters[1, 51]",1.3083579538496828,1.4979514248523451,8548.486997287906,2888.533024279198,1.0001206067078474,false,false,false,false
"parameters[2, 51]",1.4151190903930255,0.6312808502940404,3872.258770594339,2093.564282081964,0.9998699148568059,false,false,false,false
"parameters[3, 51]",1.0301924126562947,0.42771706538360976,3618.7391584284665,2871.059789671823,1.0002420107824488,false,false,false,false
"parameters[4, 51]",-5.1524612913548715,0.9568006923739072,6265.784185462818,2262.035921891065,1.002498050149414,false,false,false,false
"parameters[1, 52]",2.209566295964425,2.269162752492521,4977.50346269139,2613.0930111729285,1.0007583784670897,false,false,false,false
"parameters[2, 52]",1.0728552281710149,0.42323646777246143,3590.678470253939,2879.0074009364885,1.0001905747959299,false,false,false,false
"parameters[3, 52]",0.3946507975783416,0.1239101140309543,3342.828987058095,2905.1021588673025,1.000647548735809,false,false,false,false
"parameters[4, 52]",-5.664864686200812,0.889986044114567,5837.701716361976,2286.5138347184698,1.0008186957420595,false,false,false,false
"parameters[1, 53]",2.6708185348798956,2.91825243635114,4835.4158609852275,2750.8989439829115,1.0003023369966788,false,false,false,false
"parameters[2, 53]",1.2127612286608092,0.5073321351851978,3370.710379981825,2322.0010582562604,1.000344547146232,false,false,false,false
"parameters[3, 53]",0.4002101294662221,0.14216276586056031,3097.151308455703,2327.398907659994,1.000609962195044,false,false,false,false
"parameters[4, 53]",-5.571156818175497,0.9191770042093234,5591.079983006389,2329.2919386592157,1.0057974748457628,false,false,false,false
"parameters[1, 54]",1.642874136628777,1.893554728843017,4642.425535788127,2793.4647014811976,1.0011518666814694,false,false,false,false
