"detectprob","resp_binary","subject_nr","condition"
0.0448839094861044,0,2,3
0.547473933804596,0,2,3
0.968892131604022,0,2,3
0.968892131604022,0,2,3
0.547473933804596,0,2,3
0,0,2,3
0,0,2,3
0,1,2,3
0,1,2,3
0.547473933804596,1,2,3
0,0,2,3
0.968892131604022,0,2,3
0,0,2,3
0.968892131604022,0,2,3
0.547473933804596,0,2,3
0.0448839094861044,0,2,3
0.547473933804596,0,2,3
0,0,2,3
0,0,2,3
0,0,2,3
0,0,2,3
0,0,2,3
0.0448839094861044,0,2,3
0.547473933804596,0,2,3
0.510981698596419,0,2,4
0.834703624431779,1,2,4
0.510981698596419,1,2,4
0.510981698596419,1,2,4
0.510981698596419,0,2,4
0,0,2,4
0.510981698596419,1,2,4
0,0,2,4
0.17777886641275,1,2,4
0.510981698596419,1,2,4
0.17777886641275,1,2,4
0.510981698596419,1,2,4
0.834703624431779,1,2,4
0.510981698596419,1,2,4
0.834703624431779,1,2,4
0.834703624431779,1,2,4
0.510981698596419,1,2,4
0.510981698596419,0,2,4
0,0,2,4
0,0,2,4
0.834703624431779,0,2,4
0.17777886641275,0,2,4
0.510981698596419,1,2,4
0.510981698596419,1,2,4
0.17777886641275,1,2,4
0.834703624431779,1,2,4
0,0,2,4
0.510981698596419,0,2,4
0,0,2,4
0,1,2,4
0,0,2,4
0.510981698596419,0,2,4
0,0,2,4
0.510981698596419,1,2,4
0,0,2,4
0.834703624431779,0,2,4
0,0,2,4
0,0,2,4
0,0,2,4
0.510981698596419,0,2,4
0.510981698596419,1,2,4
0.510981698596419,1,2,4
0.17777886641275,1,2,4
0,0,2,4
0.17777886641275,1,2,4
0,0,2,4
0,0,2,4
0.834703624431779,1,2,4
0.510981698596419,1,2,4
0.834703624431779,1,2,4
0,0,2,4
0.17777886641275,0,2,4
0,0,2,4
0,0,2,4
0,0,2,4
0,0,2,4
0,0,2,4
0.834703624431779,0,2,4
0.510981698596419,1,2,4
0.510981698596419,0,2,4
0.17777886641275,0,2,4
0,1,2,4
0,1,2,4
0.510981698596419,0,2,4
0,0,2,4
0,0,2,4
0.510981698596419,0,2,4
0.510981698596419,0,2,4
0,0,2,4
0,0,2,4
0,0,2,4
0.510981698596419,1,2,4
0.834703624431779,1,2,4
0.834703624431779,0,2,4
0.510981698596419,1,2,4
0.17777886641275,0,2,4
