source_row,SubjID,condition,timestep,current_detectprob,current_response,previous_response,training,belief,xbin__prediction_mean,xbin__value_prediction_error,xprob__value_prediction_error,xprob__precision_prediction_error,xprob__posterior_precision,xprob__posterior_mean,xvol__value_prediction_error,xvol__posterior_precision,xvol__posterior_mean,signal_expectation
8261,42,1,83,0.0,0,0,0,0.09482321515912856,0.29245363086477344,-0.29245363086477344,-0.049125603848033994,-0.020929198073904087,5.945198878749311,-0.9345187160364936,-0.0004263726010906707,0.8699570108604733,-0.004037714138831064,0.28200886557417604
8262,42,1,84,0.477160093231063,0,0,0,0.4098693802675216,0.28200886557417604,-0.28200886557417604,-0.04749703254064941,-0.021164652954586305,5.937400516014928,-0.982015748577143,-0.00043116839003656555,0.8690583775165164,-0.00446888252886763,0.272491999108321
8263,42,1,85,0.0,0,0,0,0.08705120626036364,0.272491999108321,-0.272491999108321,-0.045982524856745144,-0.02134194287452512,5.9259911719628935,-1.0279982734338882,-0.0004344972763015223,0.868163873401534,-0.004903379805169152,0.2634723657015473
8264,42,1,86,0.819229420163911,1,0,0,0.6290113548375899,0.2634723657015473,-0.2634723657015473,-0.0445711650154027,-0.021470132126750308,5.911274710678405,-1.0725694384492908,-0.0004365622439367052,0.867271742567306,-0.005339942049105857,0.2549147565113017
8265,42,1,87,0.819229420163911,1,1,0,0.6379774259997815,0.2549147565113017,0.7450852434886983,0.1264240461502006,0.058933629430185874,5.893541737343176,-0.9448256248553487,0.0011961769329732887,0.8650659484415024,-0.004143765116132569,0.27992662036453764
8266,42,1,88,0.0,0,1,0,0.10562972321464634,0.27992662036453764,0.7200733796354624,0.12233382129786197,0.050895083489608695,5.88831000978,-0.8063950544981426,0.001033841465171127,0.8630000641829845,-0.0031099236509614415,0.30865921928848994
8267,42,1,89,0.670369362671822,0,0,0,0.545005504510683,0.30865921928848994,-0.30865921928848994,-0.051742227728495016,-0.020751573645247268,5.89373964510477,-0.8673580726151284,-0.0004225969768962073,0.8621114016232411,-0.0035325206278576486,0.2958043293397385
8268,42,1,90,0.0,0,0,0,0.09620301921110894,0.2958043293397385,-0.2958043293397385,-0.04989374670636393,-0.021063056163326987,5.894526936973659,-0.924031225481942,-0.0004295882215934407,0.8612323519409313,-0.00396210884945109,0.2841372168651724
8269,42,1,91,0.477160093231063,0,0,0,0.41029850653153277,0.2841372168651724,-0.2841372168651724,-0.04818338695747665,-0.02130169395252296,5.891019330312827,-0.9736309323935639,-0.0004347736162658008,0.8603604951364218,-0.00439688246571689,0.27415737277084856
8270,42,1,92,0.0,0,0,0,0.08876684285507021,0.27415737277084856,-0.27415737277084856,-0.046597227359784554,-0.021479359618420457,5.883556340954405,-1.0202281597533485,-0.0004384071857609379,0.8594937009874093,-0.004835289651477828,0.2649829608711535
